LSOA code,local authority code,local authority name
E01000001,E09000001,City of London
E01000002,E09000001,City of London
E01000003,E09000001,City of London
E01000005,E09000001,City of London
E01032739,E09000001,City of London
E01032740,E09000001,City of London
E01000006,E09000002,Barking and Dagenham
E01000007,E09000002,Barking and Dagenham
E01000008,E09000002,Barking and Dagenham
E01000009,E09000002,Barking and Dagenham
E01000011,E09000002,Barking and Dagenham
E01000012,E09000002,Barking and Dagenham
E01000013,E09000002,Barking and Dagenham
E01000014,E09000002,Barking and Dagenham
E01000015,E09000002,Barking and Dagenham
E01000016,E09000002,Barking and Dagenham
E01000017,E09000002,Barking and Dagenham
E01000018,E09000002,Barking and Dagenham
E01000019,E09000002,Barking and Dagenham
E01000020,E09000002,Barking and Dagenham
E01000021,E09000002,Barking and Dagenham
E01000022,E09000002,Barking and Dagenham
E01000024,E09000002,Barking and Dagenham
E01000025,E09000002,Barking and Dagenham
E01000027,E09000002,Barking and Dagenham
E01000028,E09000002,Barking and Dagenham
E01000029,E09000002,Barking and Dagenham
E01000030,E09000002,Barking and Dagenham
E01000031,E09000002,Barking and Dagenham
E01000032,E09000002,Barking and Dagenham
E01000033,E09000002,Barking and Dagenham
E01000034,E09000002,Barking and Dagenham
E01000035,E09000002,Barking and Dagenham
E01000036,E09000002,Barking and Dagenham
E01000037,E09000002,Barking and Dagenham
E01000038,E09000002,Barking and Dagenham
E01000039,E09000002,Barking and Dagenham
E01000040,E09000002,Barking and Dagenham
E01000041,E09000002,Barking and Dagenham
E01000042,E09000002,Barking and Dagenham
E01000043,E09000002,Barking and Dagenham
E01000044,E09000002,Barking and Dagenham
E01000045,E09000002,Barking and Dagenham
E01000046,E09000002,Barking and Dagenham
E01000049,E09000002,Barking and Dagenham
E01000050,E09000002,Barking and Dagenham
E01000051,E09000002,Barking and Dagenham
E01000052,E09000002,Barking and Dagenham
E01000053,E09000002,Barking and Dagenham
E01000054,E09000002,Barking and Dagenham
E01000055,E09000002,Barking and Dagenham
E01000056,E09000002,Barking and Dagenham
E01000057,E09000002,Barking and Dagenham
E01000058,E09000002,Barking and Dagenham
E01000059,E09000002,Barking and Dagenham
E01000060,E09000002,Barking and Dagenham
E01000061,E09000002,Barking and Dagenham
E01000062,E09000002,Barking and Dagenham
E01000063,E09000002,Barking and Dagenham
E01000064,E09000002,Barking and Dagenham
E01000065,E09000002,Barking and Dagenham
E01000066,E09000002,Barking and Dagenham
E01000067,E09000002,Barking and Dagenham
E01000068,E09000002,Barking and Dagenham
E01000069,E09000002,Barking and Dagenham
E01000070,E09000002,Barking and Dagenham
E01000071,E09000002,Barking and Dagenham
E01000072,E09000002,Barking and Dagenham
E01000073,E09000002,Barking and Dagenham
E01000074,E09000002,Barking and Dagenham
E01000075,E09000002,Barking and Dagenham
E01000076,E09000002,Barking and Dagenham
E01000077,E09000002,Barking and Dagenham
E01000078,E09000002,Barking and Dagenham
E01000079,E09000002,Barking and Dagenham
E01000080,E09000002,Barking and Dagenham
E01000081,E09000002,Barking and Dagenham
E01000082,E09000002,Barking and Dagenham
E01000083,E09000002,Barking and Dagenham
E01000084,E09000002,Barking and Dagenham
E01000085,E09000002,Barking and Dagenham
E01000086,E09000002,Barking and Dagenham
E01000087,E09000002,Barking and Dagenham
E01000088,E09000002,Barking and Dagenham
E01000089,E09000002,Barking and Dagenham
E01000090,E09000002,Barking and Dagenham
E01000091,E09000002,Barking and Dagenham
E01000093,E09000002,Barking and Dagenham
E01000094,E09000002,Barking and Dagenham
E01000095,E09000002,Barking and Dagenham
E01000096,E09000002,Barking and Dagenham
E01000097,E09000002,Barking and Dagenham
E01000098,E09000002,Barking and Dagenham
E01000099,E09000002,Barking and Dagenham
E01000100,E09000002,Barking and Dagenham
E01000101,E09000002,Barking and Dagenham
E01000102,E09000002,Barking and Dagenham
E01000103,E09000002,Barking and Dagenham
E01000104,E09000002,Barking and Dagenham
E01000105,E09000002,Barking and Dagenham
E01000106,E09000002,Barking and Dagenham
E01000107,E09000002,Barking and Dagenham
E01000108,E09000002,Barking and Dagenham
E01000110,E09000002,Barking and Dagenham
E01000111,E09000002,Barking and Dagenham
E01000112,E09000002,Barking and Dagenham
E01000113,E09000002,Barking and Dagenham
E01000114,E09000002,Barking and Dagenham
E01032580,E09000002,Barking and Dagenham
E01033587,E09000002,Barking and Dagenham
E01034469,E09000002,Barking and Dagenham
E01034470,E09000002,Barking and Dagenham
E01034471,E09000002,Barking and Dagenham
E01034472,E09000002,Barking and Dagenham
E01034473,E09000002,Barking and Dagenham
E01034474,E09000002,Barking and Dagenham
E01034475,E09000002,Barking and Dagenham
E01034476,E09000002,Barking and Dagenham
E01034477,E09000002,Barking and Dagenham
E01034478,E09000002,Barking and Dagenham
E01034479,E09000002,Barking and Dagenham
E01000115,E09000003,Barnet
E01000116,E09000003,Barnet
E01000117,E09000003,Barnet
E01000118,E09000003,Barnet
E01000119,E09000003,Barnet
E01000120,E09000003,Barnet
E01000121,E09000003,Barnet
E01000122,E09000003,Barnet
E01000123,E09000003,Barnet
E01000124,E09000003,Barnet
E01000126,E09000003,Barnet
E01000127,E09000003,Barnet
E01000128,E09000003,Barnet
E01000129,E09000003,Barnet
E01000130,E09000003,Barnet
E01000131,E09000003,Barnet
E01000132,E09000003,Barnet
E01000133,E09000003,Barnet
E01000134,E09000003,Barnet
E01000135,E09000003,Barnet
E01000136,E09000003,Barnet
E01000137,E09000003,Barnet
E01000138,E09000003,Barnet
E01000139,E09000003,Barnet
E01000140,E09000003,Barnet
E01000141,E09000003,Barnet
E01000142,E09000003,Barnet
E01000143,E09000003,Barnet
E01000144,E09000003,Barnet
E01000145,E09000003,Barnet
E01000146,E09000003,Barnet
E01000147,E09000003,Barnet
E01000150,E09000003,Barnet
E01000151,E09000003,Barnet
E01000152,E09000003,Barnet
E01000153,E09000003,Barnet
E01000154,E09000003,Barnet
E01000156,E09000003,Barnet
E01000157,E09000003,Barnet
E01000158,E09000003,Barnet
E01000159,E09000003,Barnet
E01000160,E09000003,Barnet
E01000161,E09000003,Barnet
E01000162,E09000003,Barnet
E01000163,E09000003,Barnet
E01000164,E09000003,Barnet
E01000165,E09000003,Barnet
E01000166,E09000003,Barnet
E01000167,E09000003,Barnet
E01000168,E09000003,Barnet
E01000169,E09000003,Barnet
E01000170,E09000003,Barnet
E01000171,E09000003,Barnet
E01000172,E09000003,Barnet
E01000173,E09000003,Barnet
E01000174,E09000003,Barnet
E01000175,E09000003,Barnet
E01000176,E09000003,Barnet
E01000177,E09000003,Barnet
E01000178,E09000003,Barnet
E01000179,E09000003,Barnet
E01000180,E09000003,Barnet
E01000181,E09000003,Barnet
E01000182,E09000003,Barnet
E01000183,E09000003,Barnet
E01000184,E09000003,Barnet
E01000185,E09000003,Barnet
E01000186,E09000003,Barnet
E01000187,E09000003,Barnet
E01000188,E09000003,Barnet
E01000189,E09000003,Barnet
E01000190,E09000003,Barnet
E01000191,E09000003,Barnet
E01000192,E09000003,Barnet
E01000193,E09000003,Barnet
E01000194,E09000003,Barnet
E01000195,E09000003,Barnet
E01000196,E09000003,Barnet
E01000197,E09000003,Barnet
E01000198,E09000003,Barnet
E01000199,E09000003,Barnet
E01000200,E09000003,Barnet
E01000201,E09000003,Barnet
E01000202,E09000003,Barnet
E01000203,E09000003,Barnet
E01000204,E09000003,Barnet
E01000205,E09000003,Barnet
E01000206,E09000003,Barnet
E01000207,E09000003,Barnet
E01000208,E09000003,Barnet
E01000209,E09000003,Barnet
E01000210,E09000003,Barnet
E01000211,E09000003,Barnet
E01000212,E09000003,Barnet
E01000213,E09000003,Barnet
E01000214,E09000003,Barnet
E01000215,E09000003,Barnet
E01000216,E09000003,Barnet
E01000217,E09000003,Barnet
E01000218,E09000003,Barnet
E01000219,E09000003,Barnet
E01000220,E09000003,Barnet
E01000221,E09000003,Barnet
E01000222,E09000003,Barnet
E01000223,E09000003,Barnet
E01000224,E09000003,Barnet
E01000225,E09000003,Barnet
E01000226,E09000003,Barnet
E01000227,E09000003,Barnet
E01000228,E09000003,Barnet
E01000229,E09000003,Barnet
E01000230,E09000003,Barnet
E01000231,E09000003,Barnet
E01000232,E09000003,Barnet
E01000233,E09000003,Barnet
E01000234,E09000003,Barnet
E01000235,E09000003,Barnet
E01000236,E09000003,Barnet
E01000237,E09000003,Barnet
E01000238,E09000003,Barnet
E01000239,E09000003,Barnet
E01000240,E09000003,Barnet
E01000241,E09000003,Barnet
E01000242,E09000003,Barnet
E01000243,E09000003,Barnet
E01000244,E09000003,Barnet
E01000245,E09000003,Barnet
E01000246,E09000003,Barnet
E01000247,E09000003,Barnet
E01000248,E09000003,Barnet
E01000249,E09000003,Barnet
E01000250,E09000003,Barnet
E01000251,E09000003,Barnet
E01000252,E09000003,Barnet
E01000253,E09000003,Barnet
E01000254,E09000003,Barnet
E01000255,E09000003,Barnet
E01000256,E09000003,Barnet
E01000257,E09000003,Barnet
E01000258,E09000003,Barnet
E01000259,E09000003,Barnet
E01000260,E09000003,Barnet
E01000261,E09000003,Barnet
E01000263,E09000003,Barnet
E01000264,E09000003,Barnet
E01000265,E09000003,Barnet
E01000266,E09000003,Barnet
E01000267,E09000003,Barnet
E01000268,E09000003,Barnet
E01000269,E09000003,Barnet
E01000270,E09000003,Barnet
E01000271,E09000003,Barnet
E01000272,E09000003,Barnet
E01000273,E09000003,Barnet
E01000274,E09000003,Barnet
E01000275,E09000003,Barnet
E01000276,E09000003,Barnet
E01000277,E09000003,Barnet
E01000278,E09000003,Barnet
E01000279,E09000003,Barnet
E01000280,E09000003,Barnet
E01000281,E09000003,Barnet
E01000282,E09000003,Barnet
E01000283,E09000003,Barnet
E01000284,E09000003,Barnet
E01000285,E09000003,Barnet
E01000286,E09000003,Barnet
E01000287,E09000003,Barnet
E01000288,E09000003,Barnet
E01000289,E09000003,Barnet
E01000290,E09000003,Barnet
E01000291,E09000003,Barnet
E01000292,E09000003,Barnet
E01000293,E09000003,Barnet
E01000294,E09000003,Barnet
E01000295,E09000003,Barnet
E01000296,E09000003,Barnet
E01000297,E09000003,Barnet
E01000298,E09000003,Barnet
E01000299,E09000003,Barnet
E01000300,E09000003,Barnet
E01000301,E09000003,Barnet
E01000302,E09000003,Barnet
E01000303,E09000003,Barnet
E01000304,E09000003,Barnet
E01000305,E09000003,Barnet
E01000306,E09000003,Barnet
E01000307,E09000003,Barnet
E01000308,E09000003,Barnet
E01000309,E09000003,Barnet
E01000310,E09000003,Barnet
E01000311,E09000003,Barnet
E01000312,E09000003,Barnet
E01000313,E09000003,Barnet
E01000314,E09000003,Barnet
E01000315,E09000003,Barnet
E01000316,E09000003,Barnet
E01000317,E09000003,Barnet
E01000318,E09000003,Barnet
E01000319,E09000003,Barnet
E01000320,E09000003,Barnet
E01000321,E09000003,Barnet
E01000322,E09000003,Barnet
E01000323,E09000003,Barnet
E01000324,E09000003,Barnet
E01033911,E09000003,Barnet
E01033912,E09000003,Barnet
E01033913,E09000003,Barnet
E01033914,E09000003,Barnet
E01033915,E09000003,Barnet
E01033916,E09000003,Barnet
E01033917,E09000003,Barnet
E01033918,E09000003,Barnet
E01033919,E09000003,Barnet
E01033920,E09000003,Barnet
E01033921,E09000003,Barnet
E01033922,E09000003,Barnet
E01033923,E09000003,Barnet
E01033924,E09000003,Barnet
E01033925,E09000003,Barnet
E01000325,E09000004,Bexley
E01000326,E09000004,Bexley
E01000327,E09000004,Bexley
E01000328,E09000004,Bexley
E01000329,E09000004,Bexley
E01000330,E09000004,Bexley
E01000331,E09000004,Bexley
E01000332,E09000004,Bexley
E01000333,E09000004,Bexley
E01000334,E09000004,Bexley
E01000335,E09000004,Bexley
E01000336,E09000004,Bexley
E01000337,E09000004,Bexley
E01000338,E09000004,Bexley
E01000339,E09000004,Bexley
E01000340,E09000004,Bexley
E01000341,E09000004,Bexley
E01000342,E09000004,Bexley
E01000343,E09000004,Bexley
E01000344,E09000004,Bexley
E01000345,E09000004,Bexley
E01000346,E09000004,Bexley
E01000347,E09000004,Bexley
E01000348,E09000004,Bexley
E01000349,E09000004,Bexley
E01000350,E09000004,Bexley
E01000351,E09000004,Bexley
E01000352,E09000004,Bexley
E01000353,E09000004,Bexley
E01000354,E09000004,Bexley
E01000355,E09000004,Bexley
E01000356,E09000004,Bexley
E01000357,E09000004,Bexley
E01000358,E09000004,Bexley
E01000359,E09000004,Bexley
E01000360,E09000004,Bexley
E01000361,E09000004,Bexley
E01000362,E09000004,Bexley
E01000363,E09000004,Bexley
E01000364,E09000004,Bexley
E01000365,E09000004,Bexley
E01000366,E09000004,Bexley
E01000367,E09000004,Bexley
E01000368,E09000004,Bexley
E01000369,E09000004,Bexley
E01000370,E09000004,Bexley
E01000371,E09000004,Bexley
E01000372,E09000004,Bexley
E01000373,E09000004,Bexley
E01000374,E09000004,Bexley
E01000375,E09000004,Bexley
E01000376,E09000004,Bexley
E01000377,E09000004,Bexley
E01000379,E09000004,Bexley
E01000380,E09000004,Bexley
E01000381,E09000004,Bexley
E01000382,E09000004,Bexley
E01000383,E09000004,Bexley
E01000384,E09000004,Bexley
E01000385,E09000004,Bexley
E01000386,E09000004,Bexley
E01000387,E09000004,Bexley
E01000388,E09000004,Bexley
E01000389,E09000004,Bexley
E01000390,E09000004,Bexley
E01000391,E09000004,Bexley
E01000392,E09000004,Bexley
E01000393,E09000004,Bexley
E01000394,E09000004,Bexley
E01000395,E09000004,Bexley
E01000396,E09000004,Bexley
E01000398,E09000004,Bexley
E01000399,E09000004,Bexley
E01000400,E09000004,Bexley
E01000401,E09000004,Bexley
E01000402,E09000004,Bexley
E01000403,E09000004,Bexley
E01000404,E09000004,Bexley
E01000405,E09000004,Bexley
E01000406,E09000004,Bexley
E01000407,E09000004,Bexley
E01000408,E09000004,Bexley
E01000409,E09000004,Bexley
E01000410,E09000004,Bexley
E01000411,E09000004,Bexley
E01000412,E09000004,Bexley
E01000413,E09000004,Bexley
E01000414,E09000004,Bexley
E01000415,E09000004,Bexley
E01000416,E09000004,Bexley
E01000417,E09000004,Bexley
E01000418,E09000004,Bexley
E01000419,E09000004,Bexley
E01000420,E09000004,Bexley
E01000421,E09000004,Bexley
E01000422,E09000004,Bexley
E01000423,E09000004,Bexley
E01000424,E09000004,Bexley
E01000425,E09000004,Bexley
E01000426,E09000004,Bexley
E01000427,E09000004,Bexley
E01000428,E09000004,Bexley
E01000429,E09000004,Bexley
E01000430,E09000004,Bexley
E01000431,E09000004,Bexley
E01000433,E09000004,Bexley
E01000434,E09000004,Bexley
E01000435,E09000004,Bexley
E01000436,E09000004,Bexley
E01000437,E09000004,Bexley
E01000438,E09000004,Bexley
E01000439,E09000004,Bexley
E01000440,E09000004,Bexley
E01000441,E09000004,Bexley
E01000442,E09000004,Bexley
E01000443,E09000004,Bexley
E01000444,E09000004,Bexley
E01000445,E09000004,Bexley
E01000446,E09000004,Bexley
E01000447,E09000004,Bexley
E01000448,E09000004,Bexley
E01000449,E09000004,Bexley
E01000450,E09000004,Bexley
E01000451,E09000004,Bexley
E01000452,E09000004,Bexley
E01000453,E09000004,Bexley
E01000454,E09000004,Bexley
E01000455,E09000004,Bexley
E01000456,E09000004,Bexley
E01000457,E09000004,Bexley
E01000458,E09000004,Bexley
E01000459,E09000004,Bexley
E01000460,E09000004,Bexley
E01000461,E09000004,Bexley
E01000462,E09000004,Bexley
E01000463,E09000004,Bexley
E01000464,E09000004,Bexley
E01000465,E09000004,Bexley
E01000466,E09000004,Bexley
E01000467,E09000004,Bexley
E01000468,E09000004,Bexley
E01000469,E09000004,Bexley
E01000470,E09000004,Bexley
E01032566,E09000004,Bexley
E01033789,E09000004,Bexley
E01033790,E09000004,Bexley
E01033791,E09000004,Bexley
E01033792,E09000004,Bexley
E01000471,E09000005,Brent
E01000472,E09000005,Brent
E01000473,E09000005,Brent
E01000474,E09000005,Brent
E01000475,E09000005,Brent
E01000476,E09000005,Brent
E01000477,E09000005,Brent
E01000478,E09000005,Brent
E01000479,E09000005,Brent
E01000480,E09000005,Brent
E01000481,E09000005,Brent
E01000483,E09000005,Brent
E01000484,E09000005,Brent
E01000485,E09000005,Brent
E01000486,E09000005,Brent
E01000487,E09000005,Brent
E01000488,E09000005,Brent
E01000489,E09000005,Brent
E01000490,E09000005,Brent
E01000491,E09000005,Brent
E01000492,E09000005,Brent
E01000493,E09000005,Brent
E01000494,E09000005,Brent
E01000495,E09000005,Brent
E01000497,E09000005,Brent
E01000498,E09000005,Brent
E01000499,E09000005,Brent
E01000501,E09000005,Brent
E01000502,E09000005,Brent
E01000503,E09000005,Brent
E01000504,E09000005,Brent
E01000505,E09000005,Brent
E01000506,E09000005,Brent
E01000507,E09000005,Brent
E01000508,E09000005,Brent
E01000509,E09000005,Brent
E01000510,E09000005,Brent
E01000511,E09000005,Brent
E01000512,E09000005,Brent
E01000513,E09000005,Brent
E01000514,E09000005,Brent
E01000515,E09000005,Brent
E01000516,E09000005,Brent
E01000517,E09000005,Brent
E01000518,E09000005,Brent
E01000519,E09000005,Brent
E01000520,E09000005,Brent
E01000521,E09000005,Brent
E01000522,E09000005,Brent
E01000523,E09000005,Brent
E01000524,E09000005,Brent
E01000525,E09000005,Brent
E01000526,E09000005,Brent
E01000527,E09000005,Brent
E01000528,E09000005,Brent
E01000530,E09000005,Brent
E01000531,E09000005,Brent
E01000532,E09000005,Brent
E01000533,E09000005,Brent
E01000534,E09000005,Brent
E01000535,E09000005,Brent
E01000536,E09000005,Brent
E01000538,E09000005,Brent
E01000539,E09000005,Brent
E01000540,E09000005,Brent
E01000541,E09000005,Brent
E01000543,E09000005,Brent
E01000544,E09000005,Brent
E01000545,E09000005,Brent
E01000546,E09000005,Brent
E01000547,E09000005,Brent
E01000548,E09000005,Brent
E01000549,E09000005,Brent
E01000550,E09000005,Brent
E01000551,E09000005,Brent
E01000552,E09000005,Brent
E01000553,E09000005,Brent
E01000554,E09000005,Brent
E01000555,E09000005,Brent
E01000556,E09000005,Brent
E01000557,E09000005,Brent
E01000558,E09000005,Brent
E01000559,E09000005,Brent
E01000560,E09000005,Brent
E01000561,E09000005,Brent
E01000562,E09000005,Brent
E01000563,E09000005,Brent
E01000564,E09000005,Brent
E01000565,E09000005,Brent
E01000566,E09000005,Brent
E01000567,E09000005,Brent
E01000568,E09000005,Brent
E01000569,E09000005,Brent
E01000570,E09000005,Brent
E01000571,E09000005,Brent
E01000572,E09000005,Brent
E01000573,E09000005,Brent
E01000574,E09000005,Brent
E01000575,E09000005,Brent
E01000576,E09000005,Brent
E01000577,E09000005,Brent
E01000578,E09000005,Brent
E01000579,E09000005,Brent
E01000580,E09000005,Brent
E01000581,E09000005,Brent
E01000582,E09000005,Brent
E01000583,E09000005,Brent
E01000584,E09000005,Brent
E01000585,E09000005,Brent
E01000586,E09000005,Brent
E01000587,E09000005,Brent
E01000589,E09000005,Brent
E01000590,E09000005,Brent
E01000591,E09000005,Brent
E01000592,E09000005,Brent
E01000593,E09000005,Brent
E01000594,E09000005,Brent
E01000595,E09000005,Brent
E01000596,E09000005,Brent
