ONS Code,Local Authority,Owner occupied,Private rented,Social,All Rented,Owner occupied,Private rented,Social,All Rented
E07000223,Adur,1612,427,280,707,7.82,11.01,7.81,9.47
E07000032,Amber Valley,8045,2248,767,3015,19.56,27.68,10.94,19.92
E07000224,Arun,4921,1618,571,2189,9.07,12.76,8.48,11.28
E07000170,Ashfield,5411,1777,778,2555,14.4,20.99,9.22,15.11
E07000105,Ashford,3744,1240,636,1876,9.99,13.37,8.41,11.14
E07000200,Babergh,5393,2209,296,2505,18.62,36.13,5.62,22.02
E09000002,Barking and Dagenham,2933,2959,2412,5371,7.6,18.52,11.26,14.36
E09000003,Barnet,6235,7656,2078,9734,6.83,18.06,10.77,15.78
E08000016,Barnsley,10296,5625,2376,8001,14.5,31.47,10.76,20.03
E07000066,Basildon,4213,1487,587,2074,8.32,15.92,3.52,7.97
E07000084,Basingstoke and Deane,3651,1121,920,2041,7.01,10.02,6.36,7.96
E07000171,Bassetlaw,6611,2139,869,3008,18.65,26.63,10.93,18.82
E06000022,Bath and North East Somerset,8516,3972,1937,5909,15.89,24.32,16.73,21.17
E06000055,Bedford,6136,3300,587,3887,12.42,24.79,4.68,15.04
E09000004,Bexley,4925,2341,1395,3736,6.94,17.59,10.13,13.8
E08000025,Birmingham,41322,16041,18495,34536,17.28,19.17,16.92,17.9
E07000129,Blaby,4177,956,308,1264,12.37,18.23,8.7,14.39
E06000008,Blackburn with Darwen,7479,3185,1427,4612,19.85,28.63,12.62,20.56
E06000009,Blackpool,8545,5394,920,6314,20.92,28.66,13.85,24.8
E07000033,Bolsover,3996,1355,671,2026,16.91,23.98,11.22,17.42
E08000001,Bolton,12319,4873,2830,7703,16.14,23.86,11.43,17.05
E07000136,Boston,3676,1430,684,2114,19.79,27.29,12.26,19.54
E06000058,"Bournemouth, Christchurch and Poole",16406,10088,2733,12821,14.25,22.43,14.91,20.25
E06000036,Bracknell Forest,1697,546,436,982,4.88,6.98,5.19,6.05
E08000032,Bradford,28747,20363,4560,24923,20.85,44.52,14.26,32.07
