AREA_CODE,BP_PRE_1900,BP_1900_1918,BP_1919_1929,BP_1930_1939,BP_1945_1954,BP_1955_1964,BP_1965_1972,BP_1973_1982,BP_1983_1992,BP_1993_1999,BP_2000_2009,BP_2010_2015,BP_UNKNOWN,ALL_PROPERTIES
E01031349,0,0,0,410,140,10,0,0,0,1,1,0,0,560
E01031350,1,0,50,90,210,30,10,100,0,0,10,10,1,500
E01031351,1,0,0,180,180,260,20,10,0,0,1,1,0,660
E01031352,0,0,0,360,130,90,60,0,0,1,1,1,0,650
E01031370,0,0,60,180,250,70,0,0,0,0,1,0,0,560
E01031374,100,140,60,150,10,110,70,1,1,1,10,40,1,690
E01031338,0,0,1,160,50,40,190,60,1,1,0,0,1,510
E01031339,1,1,0,60,10,80,20,340,10,0,1,0,0,520
E01031340,10,1,20,200,80,110,60,170,1,0,1,1,1,640
E01031365,1,130,40,100,40,60,170,50,40,30,1,170,10,850
E01031367,1,1,30,230,40,50,190,10,10,1,0,1,0,560
E01031345,10,0,0,410,100,90,1,1,10,30,1,10,0,660
E01031353,50,10,20,110,30,180,50,20,20,1,10,1,1,500
E01031354,10,0,1,300,40,120,60,10,10,0,0,1,0,550
E01031355,1,0,30,340,170,70,10,30,10,0,30,30,1,710
E01031359,1,0,30,400,20,50,40,10,1,0,10,1,0,570
E01031347,50,10,60,210,1,110,160,1,10,40,1,20,0,660
E01031348,10,1,150,150,20,150,60,50,10,30,20,40,1,680
E01031366,0,20,130,210,10,1,20,30,0,70,10,1,0,500
E01031371,0,0,0,50,90,120,80,180,80,0,10,1,0,610
E01031372,1,1,1,10,130,270,0,0,0,100,10,0,1,530
E01031373,30,100,30,10,70,80,80,1,250,1,1,1,1,650
E01031375,70,150,30,90,30,200,40,110,20,0,10,1,0,730
E01031356,0,20,40,10,90,270,60,160,50,20,300,50,10,1080
E01031357,1,10,10,40,60,400,130,80,140,140,100,10,1,1100
E01031364,340,20,60,10,1,40,60,80,40,1,210,80,10,930
E01031368,30,10,110,180,10,40,80,40,30,1,30,0,0,560
E01031369,150,30,100,60,10,30,110,30,90,1,50,1,0,650
E01031344,0,0,40,270,90,150,30,1,10,1,1,1,0,600
E01031346,10,1,20,130,20,190,200,40,10,0,10,1,1,630
E01031361,1,1,0,50,130,130,270,10,30,1,10,1,0,650
E01031362,40,20,1,10,10,70,260,100,10,20,1,10,1,550
E01031363,1,0,0,50,80,470,40,80,20,20,20,0,1,760
E01031358,0,0,10,30,20,50,250,290,0,1,20,1,0,660
E01031360,10,0,10,240,130,100,40,10,90,30,20,1,0,670
E01031376,1,20,60,180,30,60,10,40,80,100,70,10,1,660
E01031378,10,10,30,340,10,50,20,10,80,40,90,10,1,700
E01031341,1,80,20,110,30,170,10,30,180,10,10,40,1,680
E01031342,10,20,10,190,30,210,260,70,10,20,10,0,1,840
E01031343,0,1,30,310,30,140,70,10,20,0,10,10,0,630
E01031377,70,90,10,120,30,60,50,210,80,40,60,60,10,890
E01031379,30,20,40,130,1,270,160,20,70,1,20,0,1,770
E01019126,330,30,10,10,130,60,50,60,50,20,50,10,10,830
E01019127,170,20,60,150,50,20,30,70,90,20,50,20,30,770
